account,bond,claimable,pending
1,fox,772700525320475810466,40455524885888785888318
2,fox,0,0
3,fox,0,0
4,fox,535812985316505537826,5920585473110558429023
5,fox,0,0
6,fox,1130924183066933179355,154921120968073038267880
7,fox,0,0
8,fox,0,0
9,fox,769844337332350342351,81036246034984246563273
10,fox,0,0
1,syn,0,0
2,syn,0,0
3,syn,0,0
4,syn,0,0
5,syn,0,0
6,syn,0,0
7,syn,0,0
8,syn,0,0
9,syn,0,0
10,syn,0,0
1,premia,0,0
2,premia,0,0
3,premia,0,0
4,premia,0,0
5,premia,0,0
6,premia,0,0
7,premia,0,0
8,premia,0,0
9,premia,0,0
10,premia,0,0
